15787, 5544, 15671
32387, 23078, 30515
23078, 30515, 32387
30515, 32387, 23078
30515, 32387, 23078
25299, 140, 24180
2816, 469, 3648
11383, 4666, 4684
4666, 4684, 11383
25985, 8799, 26411
25985, 26411, 8799
25985, 26411, 8799
9710, 13574, 7640
15349, 6472, 10255
1430, 10316, 3050
31676, 12968, 21061
12968, 21061, 31676
12968, 31676, 21061
12968, 31676, 21061
22953, 9590, 26919
22953, 9590, 26919
26690, 13120, 23440
13120, 26690, 23440
3000, 617, 11274
3000, 617, 11274
268, 5090, 22514
22514, 268, 5090
1458, 26504, 1402
29693, 27554, 27555
27554, 27555, 29693
27554, 27555, 29693
14129, 4623, 14064
3000, 617, 1722
7933, 3870, 14758
5713, 19604, 30589
5713, 19604, 30589
7055, 10820, 11989
26960, 12819, 19557
26960, 12819, 19557
26960, 12819, 19557
19806, 9222, 24251
10214, 12850, 15802
10214, 12850, 15802
31429, 25496, 21245
12947, 15684, 21023
24499, 22255, 20145
1273, 4405, 11736
10610, 8348, 27933
31928, 5944, 31364
23501, 26899, 5397
23501, 26899, 5397
5397, 23501, 26899
5397, 23501, 26899
1809, 3732, 26783
1809, 3732, 26783
3037, 1645, 3654
1645, 3037, 3654
1645, 3037, 3654
30598, 31587, 32005
30598, 31587, 32005
23011, 18556, 31380
18556, 23011, 31380
31474, 25095, 29905
25095, 29905, 31474
29905, 31474, 25095
24829, 11568, 30741
23835, 18838, 22316
18838, 22316, 23835
23835, 22316, 18838
23835, 22316, 18838
30957, 9263, 10225
14693, 26735, 26307
1288, 17833, 23527
1288, 17833, 23527
29169, 29950, 32250
29169, 32250, 29950
3942, 14409, 21154
3942, 14409, 21154
26491, 9023, 6443
18440, 23004, 14764
20497, 15380, 11416
14411, 7769, 13217
4093, 1828, 12938
7654, 2266, 29720
2266, 7654, 29720
4134, 2254, 4248
24226, 26545, 26947
24226, 26545, 26947
3493, 1017, 2149
1091, 6172, 1822, 1823
5724, 5591, 2704, 1463
5591, 4450, 5724, 1463
1361, 9677, 2934, 793
